Taxon,RL,A,B,R,AL,BM,NV,SV,PA,V,nT,oT,S,K,St,O,N,W,B_duplicated_0,VA,Areal,LD
Alchemilla compta,LC,2,0,0,●,,,,,●,●,●,●,●,●,,,,,,Eur,S
(A. vulgaris agg. s.lat.),,,,,,,,,,,,,,,,,,,,,,
Schmuck-Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla connivens,LC,3,0,0,●,,,,,●,●,●,●,●,●,●,,,,,Eur,S
(A. vulgaris agg. s.lat.),,,,,,,,,,,,,,,,,,,,,,
Zusammenneigender Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla coriacea,LC,2,0,0,●,,,,,●,●,●,●,●,●,●,,,,,Eur,S
(A. vulgaris agg. s.lat.),,,,,,,,,,,,,,,,,,,,,,
Lederblättriger Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla crinita,LC,4,0,0,●,G,●,G,,●,●,●,●,●,●,●,●,,,,Eur,S
(A. vulgaris agg. s.lat.),,,,,,,,,,,,,,,,,,,,,,
Langhaariger Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla curta,G,1,?,?,●,,,,,,,,,,●,,,,,E,ZE-Alp!,S
(A. vulgaris agg. s.lat.),Endemit der Niederen Tauern.,,,,,,,,,,,,,,,,,,,,,
Kurzer Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla curtiloba,G,1,?,?,●,,,,,●,●,●,,,,,,,,,Eur,S
(A. vulgaris agg. s.lat.),,,,,,,,,,,,,,,,,,,,,,
Kurzlappiger Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla cymatophylla,n,,,,,,,,,,u,,,,,e?,,,,,,S
(A. vulgaris agg. s.lat.),,,,,,,,,,,,,,,,,,,,,,
Wellenblättriger Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla decumbens,LC,3,0,0,●,,,,,●,●,●,●,●,●,●,?,,,,Eur,S
(A. vulgaris agg. s.lat.),,,,,,,,,,,,,,,,,,,,,,
Niederliegender Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla demissa,G,1,?,?,●,,,,,,,,,●,,,,,,,Eur,S
(A. vulgaris agg. s.lat.),In Österreich nur vom Hochobir bekannt (Fröhner 2004).,,,,,,,,,,,,,,,,,,,,,
