Taxon,RL,A,B,R,AL,BM,NV,SV,PA,V,nT,oT,S,K,St,O,N,W,B_duplicated_0,VA,Areal,LD
Silgenblättriger Wasserfenchel,Rezent nur mehr im unteren Marchtal und dort sehr selten und in starkem Rückgang. Im südöstlichen Vorland nach Regulierung der Strem erloschen (Traxler 1984).,,,,,,,,,,,,,,,,,,,,,
Oenothera biennis s.str.,n,,,,,,,,,le,le,e,e,e,e,e,e,e,e,,,H
Gewöhnliche Nachtkerze,,,,,,,,,,,,,,,,,,,,,,
Oenothera deflexa,n,,,,,,,,,,u,u,e?,u,u,e?,,,,,,H
Leipziger Nachtkerze,,,,,,,,,,,,,,,,,,,,,,
Oenothera fallax s.str.,n,,,,,,,,,,e?,,e?,e?,e?,e?,e?,e?,e?,,,H
Trug-Nachtkerze,,,,,,,,,,,,,,,,,,,,,,
Oenothera glazioviana s.str.,n,,,,,,,,,e?,e?,e?,e,e?,e,e,e,e,e,,,H
Rotkelchige Nachtkerze,,,,,,,,,,,,,,,,,,,,,,
Oenothera pycnocarpa,n,,,,,,,,,,u,u,e,u,u,e,u,le,,,,H
Dickfrüchtige Nachtkerze,,,,,,,,,,,,,,,,,,,,,,
Oenothera rubricaulis,n,,,,,,,,,,,e?,e?,e?,e?,e?,e?,e?,e?,,,H
Rotstänglige Nachtkerze,,,,,,,,,,,,,,,,,,,,,,
Omalotheca hoppeana,LC,3,0,0,●,,,,,●,●,●,●,●,●,●,●,,,,Eur,S
Syn. Gnaphalium hoppeanum,,,,,,,,,,,,,,,,,,,,,,
Alpen-Ruhrkraut,,,,,,,,,,,,,,,,,,,,,,
Omalotheca norvegica,LC,4,0,0,●,CR,,,,●,●,●,●,●,●,●,●,,,,Hol,S
Syn. Gnaphalium norvegicum,,,,,,,,,,,,,,,,,,,,,,
Norwegisches Ruhrkraut,,,,,,,,,,,,,,,,,,,,,,
Omalotheca supina,LC,4,0,0,●,,,,,●,●,●,●,●,●,●,●,,,,Hol,S
Syn. Gnaphalium supinum,,,,,,,,,,,,,,,,,,,,,,
Zwerg-Ruhrkraut,,,,,,,,,,,,,,,,,,,,,,
Omalotheca sylvatica,LC,5,0,0,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Euras (Hol),S
Syn. Gnaphalium sylvaticum,,,,,,,,,,,,,,,,,,,,,,
Wald-Ruhrkraut,,,,,,,,,,,,,,,,,,,,,,
Omphalodes scorpioides → Memoremea,,,,,,,,,,,,,,,,,,,,,,
Omphalodes verna,VU,1,0,-1,●,n,n,,n,u,u,u,e,●,,u,u,le,u,,Eur,S
Frühlings-Nabelnüsschen,"Nur indigene Vorkommen (Süd-Kärnten) wurden bewertet, daneben zahlreiche Verwilderungen.",,,,,,,,,,,,,,,,,,,,,
Onobrychis arenaria subsp. arenaria,VU,3,-2,-1,●,EN,,,●,?,●,●,–,●,●,?,●,●,●,,Euras,S
(O. viciifolia agg.),Die Abgrenzung von Onobrychis viciifolia ist schwierig.,,,,,,,,,,,,,,,,,,,,,
Eigentliche Sand-Esparsette,,,,,,,,,,,,,,,,,,,,,,
Onobrychis arenaria subsp. taurerica,EN,1,-1,-1,●,,,,,,,●,,●,,,,,,E,E-Alp!,S
(O. viciifolia agg.),Der taxonomische Wert der Sippe ist unsicher.,,,,,,,,,,,,,,,,,,,,,
Tauern-Sand-Esparsette,,,,,,,,,,,,,,,,,,,,,,
Onobrychis montana,VU,2,-1,-1,●,,,,,●,●,,,,,,,,,,Eur,S
(O. viciifolia agg.),,,,,,,,,,,,,,,,,,,,,,
Berg-Esparsette,,,,,,,,,,,,,,,,,,,,,,
Onobrychis viciifolia s.str.,n,,,,,,,,,e,e,e,e,e,e,e,e,e,e,,,S
(O. viciifolia agg.),Ob in manchen Magerwiesen vielleicht doch indigen?,,,,,,,,,,,,,,,,,,,,,
Gewöhnliche Esparsette,,,,,,,,,,,,,,,,,,,,,,
Ononis arvensis,EN,2,-2,-1,n,n,n,RE?,●,u,e,e,†,●,●,u,●,●,●,,Euras,S
(O. spinosa agg.),Auch ruderal.,,,,,,,,,,,,,,,,,,,,,
Bocks-Hauhechel,,,,,,,,,,,,,,,,,,,,,,
Ononis pusilla,VU,2,-1,-1,●,,,,●,,,,,–,,,●,●,●,,Eur,H
Zwerg-Hauhechel,,,,,,,,,,,,,,,,,,,,,,
Ononis repens subsp. procurrens,VU,3,-2,-1,●,,EN,?,?,●,●,●,●,●,●,●,●,●,?,,Eur,S
(O. spinosa agg.),Auch synanthrop.,,,,,,,,,,,,,,,,,,,,,
Kriech-Hauhechel,,,,,,,,,,,,,,,,,,,,,,
Ononis rotundifolia,LC,2,0,0,●,,,,,,●,●,,●,,,,,,,Eur,S
Rundblättrige Hauhechel,,,,,,,,,,,,,,,,,,,,,,
Ononis spinosa subsp. austriaca,G,?,?,?,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Eur,S
(O. spinosa agg.),,,,,,,,,,,,,,,,,,,,,,
Österreichische Dorn-Hauhechel,,,,,,,,,,,,,,,,,,,,,,
Ononis spinosa subsp. spinosa,NT,4,-2,-1,●,VU,VU,VU,●,●,●,●,●,●,●,●,●,●,●,,Euras,S
(O. spinosa agg.),Auch subruderal. Im westlichen Alpengebiet gefährdet.,,,,,,,,,,,,,,,,,,,,,
Eigentliche Dorn-Hauhechel,,,,,,,,,,,,,,,,,,,,,,
Onopordum acanthium,LC,4,0,0,VU,●,"RE, n",●,●,u,●,●,u,●,u,u,●,●,●,,Euras (Kosm),H
Eselsdistel,"Im Pannonikum und seinen Randlagen, in Kärnten sowie im Oberinntal heimisch.",,,,,,,,,,,,,,,,,,,,,
Onosma arenaria,EN,2,-2,-2,,,,,●,,,,,,,,●,●,●,,Euras,H
Sand-Lotwurz,Im Seewinkel durch Beweidung gefördert.,,,,,,,,,,,,,,,,,,,,,
Onosma helvetica subsp. austriaca,CR,1,-2,-1,,,,,●,,,,,,,,●,,,E,Ö*!,H
Österreichische Lotwurz,Heute nur mehr um Dürnstein (Wachau) in grusigen Silikatfelsfluren (Essl & Pachschwöll 2009).,,,,,,,,,,,,,,,,,,,,,
Onosma visianii,EN,1,-1,-1,●,,,,●,,,,,,,,●,,,D,Eur,H
Dalmatiner Lotwurz,Die große Population am Hauerberg bei Vöslau wurde durch einen Steinbruch zerstört. Bei starker Beweidung gehen Jungpflanzen der hapaxanthen Art verloren.,,,,,,,,,,,,,,,,,,,,,
Ophioglossum vulgatum,VU,3,-2,-1,●,CR,EN,CR,●,●,●,†,●,●,●,●,●,●,●,,Hol,S
Natternzunge,,,,,,,,,,,,,,,,,,,,,,
Ophrys apifera,EN,2,-1,-2,●,,,CR,●,●,●,,,–,●,●,●,●,●,,Euras,S
Bienen-Ragwurz,,,,,,,,,,,,,,,,,,,,,,
Ophrys holoserica,EN,2,-2,-1,CR,,CR,CR,●,●,,,,●,●,●,●,●,●,,Euras,S
Hummel-Ragwurz,,,,,,,,,,,,,,,,,,,,,,
Ophrys insectifera,LC,4,-1,-1,●,,CR,RE,VU,●,●,●,●,●,●,●,●,●,●,,Eur,S
Fliegen-Ragwurz,,,,,,,,,,,,,,,,,,,,,,
Ophrys sphegodes,VU,2,-1,-1,RE?,,RE,EN,●,†,†,,,†?,●,†,●,●,●,,Euras,S
Spinnen-Ragwurz,"Im Alpengebiet möglicherweise ausgestorben, im Pielachtal (Niederösterreich) durch Umwandlung einer artenreichen Magerwiese zu einer Intensivweide vernichtet (Schweighofer 2001).",,,,,,,,,,,,,,,,,,,,,
Opuntia humifusa,n,,,,,,,,,u,le,,,,,,u,,,,,B
Niedriger Feigenkaktus,,,,,,,,,,,,,,,,,,,,,,
Opuntia phaeacantha,n,,,,,,,,,,,,,,,,le,u,,,,B
Braundorniger Feigenkaktus,,,,,,,,,,,,,,,,,,,,,,
Orchis coriophora → Anacamptis,,,,,,,,,,,,,,,,,,,,,,
Orchis mascula subsp. mascula,VU,2,-1,-1,●,,,,,●,●,,,,,,,,,,Euras,S
Eigentliches Manns-Knabenkraut,Der Bewertung liegen die sicheren Vorkommen der Unterart im westlichsten Österreich zugrunde. Übergangspopulationen werden auch weiter östlich angegeben. Vgl. auch die Karte bei Griebl (2013).,,,,,,,,,,,,,,,,,,,,,
Orchis mascula subsp. speciosa,NT,4,-2,-1,●,EN,CR,RE,RE?,●,●,●,●,●,●,●,●,†,†,,Eur,S
Prächtiges Manns-Knabenkraut,In den Tieflagen stark gefährdet.,,,,,,,,,,,,,,,,,,,,,
Orchis militaris,VU,3,-2,-1,●,EN,EN,CR,●,●,●,●,●,●,●,●,●,●,●,,Euras,S
Helm-Knabenkraut,,,,,,,,,,,,,,,,,,,,,,
Orchis morio → Anacamptis,,,,,,,,,,,,,,,,,,,,,,
Orchis pallens,VU,3,-2,-1,●,CR,CR,CR,CR,●,●,,●,–,●,●,●,●,●,,Eur,S
Bleiches Knabenkraut,,,,,,,,,,,,,,,,,,,,,,
Orchis palustris → Anacamptis,,,,,,,,,,,,,,,,,,,,,,
Orchis purpurea,VU,2,-1,-1,EN,RE,RE,,●,†,,,u,●,u,†,●,●,●,,Eur,S
"Purpur-Knabenkraut, Braunrotes K.",Im Alpengebiet abseits des Wienerwaldes stark gefährdet.,,,,,,,,,,,,,,,,,,,,,
Orchis simia,CR,1,?,-1,n,,,,●*,,,,,,u,,●*,,,,Eur,S
Affen-Knabenkraut,"Das steirische Vorkommen war vermutlich angesalbt und existiert nicht mehr (Griebl 2013). Ein neu in den Hainburger Bergen entdecktes reiches Vorkommen (G. Haug, K. Nadler & N. Novak, pers. Mitt.) könnte auch auf Samenfernflug zurückgehen.",,,,,,,,,,,,,,,,,,,,,
Orchis spitzelii,CR,1,-3,-3,●,,,,,–,,,●,†,,†,†,,,,Eur,S
Spitzel-Knabenkraut,Heute nur mehr eine kleine Population bei Maria Alm (Salzburg).,,,,,,,,,,,,,,,,,,,,,
Orchis tridentata → Neotinea,,,,,,,,,,,,,,,,,,,,,,
Orchis ustulata → Neotinea,,,,,,,,,,,,,,,,,,,,,,
Oreochloa disticha,LC,4,0,0,●,,,,,●,●,●,●,●,●,–,,,,,Eur,S
Kopfgras,,,,,,,,,,,,,,,,,,,,,,
Oreojuncus monanthos,LC,3,0,0,●,,,,,●,●,●,●,●,●,●,●,,,,Eur,S
Syn. Juncus monanthos,,,,,,,,,,,,,,,,,,,,,,
(O. trifidus agg.),,,,,,,,,,,,,,,,,,,,,,
Einblütige Bergsimse,,,,,,,,,,,,,,,,,,,,,,
Oreojuncus trifidus s.str.,LC,4,0,0,●,,,,,●,●,●,●,●,●,●,●,,,,Hol,S
Syn. Juncus trifidus s.str.,,,,,,,,,,,,,,,,,,,,,,
(O. trifidus agg.),,,,,,,,,,,,,,,,,,,,,,
Dreiblättrige Bergsimse,,,,,,,,,,,,,,,,,,,,,,
Oreopteris limbosperma,LC,5,0,0,●,●,●,●,EN,●,●,●,●,●,●,●,●,†,●,,Euras (Hol),S
Syn. Thelypteris limbosperma,,,,,,,,,,,,,,,,,,,,,,
Bergfarn,,,,,,,,,,,,,,,,,,,,,,
Origanum vulgare,LC,5,-1,-1,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Euras (Kosm),S
Echter Dost,Angaben von subsp. prismaticum sind zweifelhaft.,,,,,,,,,,,,,,,,,,,,,
Orlaya grandiflora,VU,2,-1,0,RE*,EN,RE,,●,,u,u,,†*,,†,●,●,?,,Eur,H
Strahldolde,In den Hainburger Bergen durch Beweidung gefördert.,,,,,,,,,,,,,,,,,,,,,
Ornithogalum boucheanum → Honorius,,,,,,,,,,,,,,,,,,,,,,
Ornithogalum brevistylum → Loncomelos,,,,,,,,,,,,,,,,,,,,,,
Ornithogalum nutans → Honorius,,,,,,,,,,,,,,,,,,,,,,
Ornithogalum pannonicum,VU,2,-1,0,,,,,●,,,,,,,,●,●,●,,Eur,S
Syn. O. comosum auct.,,,,,,,,,,,,,,,,,,,,,,
Schopf-Milchstern,,,,,,,,,,,,,,,,,,,,,,
Ornithogalum pyrenaicum → Loncomelos,,,,,,,,,,,,,,,,,,,,,,
Ornithogalum umbellatum agg.,,,,,,,,,,,,,,,,,,,,,,
AGr. Dolden-Milchstern i. w. S.,,,,,,,,,,,,,,,,,,,,,,
Ornithogalum kochii subagg.,VU,3,-2,-1,EN,EN,?,EN,●,,,,,●,,–,●,●,●,,Eur,S
Inkl. O. kochii s.str. und O. orbelicum,,,,,,,,,,,,,,,,,,,,,,
AGr. Koch-Milchstern,,,,,,,,,,,,,,,,,,,,,,
Ornithogalum umbellatum subagg.,NT,3,-1,-1,VU,VU,●,●,●,●*,●,●,●*,●,●,●,●,●,●*,,Euras (Kosm),S
"Inkl. O. divergens, O. umbellatum s.strictiss. und O. vulgare",Auch subruderal.,,,,,,,,,,,,,,,,,,,,,
AGr. Dolden-Milchstern i. e. S.,,,,,,,,,,,,,,,,,,,,,,
Orobanche alba,NT,4,-2,-1,●,VU,EN,CR,VU,●,●,●,●,●,●,●,●,●,●,,Euras,S
Quendel-Sommerwurz,,,,,,,,,,,,,,,,,,,,,,
Orobanche alsatica s.str.,EN,1,-1,-1,●,,,●,●,,,,,,●,,●,●,†,,Euras,S
(O. alsatica agg.),,,,,,,,,,,,,,,,,,,,,,
Elsässer Sommerwurz i. e. S.,,,,,,,,,,,,,,,,,,,,,,
Orobanche alsatica subsp. libanotidis → O. bartlingii,,,,,,,,,,,,,,,,,,,,,,
Orobanche arenaria → Phelipanche,,,,,,,,,,,,,,,,,,,,,,
Orobanche artemisiae-campestris s.str.,CR,1,-2,-3,RE,,,,●,,,,,†,,–,●,,,,Eur,S
(O. artemisiae-campestris agg.),"Nur mehr wenige, individuenarme Vorkommen in Trockenrasen und Felsfluren.",,,,,,,,,,,,,,,,,,,,,
Beifuß-Sommerwurz,,,,,,,,,,,,,,,,,,,,,,
Orobanche bartlingii,EN,1,-1,-1,●,,,,●,,,†?,●,●,●,●,●,,●,,Eur,S
Syn. O. alsatica subsp. libanotidis,Bestimmungskritisch: Verwechslungen mit O. alsatica sind leicht möglich!,,,,,,,,,,,,,,,,,,,,,
(O. alsatica agg.),,,,,,,,,,,,,,,,,,,,,,
Heilwurz-Sommerwurz,,,,,,,,,,,,,,,,,,,,,,
Orobanche bohemica → Phelipanche,,,,,,,,,,,,,,,,,,,,,,
Orobanche caryophyllacea,NT,3,-1,-1,●,EN,EN,VU,EN,●,●,●,●,●,●,●,●,●,●,,Euras,S
Labkraut-Sommerwurz,Im westlichen Alpengebiet gefährdet.,,,,,,,,,,,,,,,,,,,,,
Orobanche caesia → Phelipanche,,,,,,,,,,,,,,,,,,,,,,
Orobanche coerulescens,CR,1,-2,-1,,RE?,,,●,,,,,,,†,●,†,,,Euras,S
Bläuliche Sommerwurz,Aktuell nur mehr kleine Populationen in Trockenrasen und Brachen des Weinviertels und der Wachau. Wirt: Artemisia campestris.,,,,,,,,,,,,,,,,,,,,,
Orobanche elatior agg.,EN,,,,●,CR,,CR,●,†,●,,†,●,●,●,●,●,●,,,
AGr. Große Sommerwurz,Die beiden verwechslungsträchtigen Arten werden erst in neuerer Zeit wieder unterschieden (Zázvorka 2010). Aus der Böhmischen Masse und dem Südöstlichen Vorland liegen nur Aggregatsangaben vor.,,,,,,,,,,,,,,,,,,,,,
Orobanche centaurina,EN,2,?,-1,●,,,,●,,,,?,●,†?,,●,●,●,,Euras,S
Syn. O. kochii,,,,,,,,,,,,,,,,,,,,,,
Koch-Sommerwurz,,,,,,,,,,,,,,,,,,,,,,
Orobanche elatior s.str.,EN,2,?,-1,●,,,,●,†,●,,,●,?,●,●,,●,,Euras,S
Große Sommerwurz i. e. S.,Auch das verschollene Vorkommen in Vorarlberg ist wohl zu O. elatior s.str. zu stellen.,,,,,,,,,,,,,,,,,,,,,
Orobanche flava,LC,3,0,0,●,,EN,,,●,●,●,●,●,●,●,●,,,,Eur,S
Pestwurz-Sommerwurz,,,,,,,,,,,,,,,,,,,,,,
Orobanche gracilis,NT,4,-2,-1,●,EN,VU,●,●,●,●,●,●,●,●,●,●,●,●,,Eur,S
Blutrote Sommerwurz,,,,,,,,,,,,,,,,,,,,,,
Orobanche hederae,EN,1,-1,-1,●,,n,n,n,●,"†?,le?",,u,,le?,,e,le,,,Eur,S
Efeu-Sommerwurz,,,,,,,,,,,,,,,,,,,,,,
Orobanche kochii → O. elatior agg.,,,,,,,,,,,,,,,,,,,,,,
Orobanche lanuginosa → Phelipanche caesia,,,,,,,,,,,,,,,,,,,,,,
Orobanche laserpitii-sileris,EN,1,-1,-1,●,,,,,●,,,,●,†?,,●,,,,Eur,S
Bergkümmel-Sommerwurz,,,,,,,,,,,,,,,,,,,,,,
Orobanche lucorum,CR,2,-3,-3,●,,,,,†,●,†,●,●,,?,,,,,Eur,S
Berberitzen-Sommerwurz,"Möglicherweise hat die Art wegen Beweidungsrückgangs abgenommen, weshalb geeignete, vegetationsarme Keimplätze und Berberis vulgaris als Wirt fehlen (P. Schönswetter, pers. Mitt.).",,,,,,,,,,,,,,,,,,,,,
Orobanche lutea,NT,3,-1,-1,●,EN,EN,EN,●,●,●,●,,●,●,●,●,●,●,,Euras,S
Gelbe Sommerwurz,Im westlichen Alpengebiet gefährdet.,,,,,,,,,,,,,,,,,,,,,
Orobanche lycoctoni,LC,1,0,0,●,,,,,●,●,,●,●,●,,,,,,Eur,S
Eisenhut-Sommerwurz,,,,,,,,,,,,,,,,,,,,,,
Orobanche minor,NT,3,-2,0,VU,EN,●,●,EN,●,●,†?*,●,●,●,●*,●,,●,,Euras (Kosm),S
Klee-Sommerwurz,,,,,,,,,,,,,,,,,,,,,,
Orobanche pancicii,LC,2,0,0,●,,,EN,,,,,†,●,●,,●,,●,,Eur,S
Skabiosen-Sommerwurz,Verbreitung in Österreich noch unzureichend bekannt.,,,,,,,,,,,,,,,,,,,,,
Orobanche picridis,CR,1,-3,-1,RE?,,RE,RE,●,,,,,†?,†,†,●,†,,,Eur,S
(O. artemisiae-campestris agg.),Subruderal. Der starke Rückgang ist schwer erklärbar.,,,,,,,,,,,,,,,,,,,,,
Bitterkraut-Sommerwurz,,,,,,,,,,,,,,,,,,,,,,
Orobanche purpurea → Phelipanche,,,,,,,,,,,,,,,,,,,,,,
Orobanche ramosa → Phelipanche,,,,,,,,,,,,,,,,,,,,,,
Orobanche reticulata subsp. pallidiflora,EN,2,-2,-2,CR,,CR,,●,†,?,,,●,,●,●,●,●,,Eur,S
Bleiche Distel-Sommerwurz,"Ob die Abgrenzung von subsp. reticulata zurecht erfolgt, ist fraglich.",,,,,,,,,,,,,,,,,,,,,
Orobanche reticulata subsp. reticulata,LC,3,0,0,●,,,,,●,●,●,●,●,●,●,●,,,,Eur,S
Dunkle Distel-Sommerwurz,,,,,,,,,,,,,,,,,,,,,,
Orobanche salviae,LC,3,0,0,●,RE?,CR,VU,,●,●,●,●,●,●,●,●,●,,,Eur,S
Salbei-Sommerwurz,,,,,,,,,,,,,,,,,,,,,,
Orobanche teucrii,NT,3,-1,-1,●,EN,CR,,VU,●,●,●,●,●,●,●,●,●,●,,Eur,S
Gamander-Sommerwurz,,,,,,,,,,,,,,,,,,,,,,
Orthilia secunda,LC,4,-1,-1,●,EN,CR,VU,CR,●,●,●,●,●,●,●,●,,●,,Kosm,S
Birngrün,,,,,,,,,,,,,,,,,,,,,,
Oryzopsis virescens → Achnatherum,,,,,,,,,,,,,,,,,,,,,,
Ostrya carpinifolia,LC,2,0,0,●,,,,,,●,●,,●,●,,,u,,,Eur,B
Hopfenbuche,Außerhalb der Südalpen gefährdet.,,,,,,,,,,,,,,,,,,,,,
Othocallis mischtschenkoana,n,,,,,,,,,,,,,,u,,u,le?,,,,S
Mischtschenko-Schmuckblaustern,,,,,,,,,,,,,,,,,,,,,,
Othocallis siberica,n,,,,,,,,,,u,u,le,u,u,u,u,u,u,,,S
Sibirischer Schmuckblaustern,,,,,,,,,,,,,,,,,,,,,,
Oxalis acetosella,LC,5,0,0,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Euras (Hol),S
Wald-Sauerklee,,,,,,,,,,,,,,,,,,,,,,
Oxalis corniculata,n,,,,,,,,,e,e,e,e,e,e,e,e,e,e,,,S
Horn-Sauerklee,,,,,,,,,,,,,,,,,,,,,,
Oxalis dillenii,n,,,,,,,,,e,e,e,e,e,e,e,e,e,e,,,S
Dillenius-Sauerklee,,,,,,,,,,,,,,,,,,,,,,
Oxalis stricta,n,,,,,,,,,e,e,e,e,e,e,e,e,e,e,,,S
"Aufrechter Sauerklee, Steifer S.",,,,,,,,,,,,,,,,,,,,,,
Oxybasis chenopodioides,VU,2,-1,-1,,,,,●,,,,,,,–,●,u,●,,Euras (Hol),H
Syn. Chenopodium chenopodioides,,,,,,,,,,,,,,,,,,,,,,
(O. rubra agg.),,,,,,,,,,,,,,,,,,,,,,
Dickblättriger Gänsefuß,,,,,,,,,,,,,,,,,,,,,,
Oxybasis glauca,LC,4,+1,0,●,●,●,●,●,u,●,●,●,●,●,●,●,●,●,,Kosm,H
Syn. Chenopodium glaucum,In vielen Gebieten an Straßenrändern und Deponien in Ausbreitung.,,,,,,,,,,,,,,,,,,,,,
"Graugrüner Gänsefuß, Grauer G.",,,,,,,,,,,,,,,,,,,,,,
Oxybasis rubra s.str.,VU,3,-2,-1,EN,EN*,EN*,RE,●,u,●,●,u,u,●,●*,●,●,●,,Euras (Hol),H
Syn. Chenopodium rubrum s.str.,,,,,,,,,,,,,,,,,,,,,,
(O. rubra agg.),,,,,,,,,,,,,,,,,,,,,,
Roter Gänsefuß,,,,,,,,,,,,,,,,,,,,,,
Oxybasis urbica,EN,2,-2,-2,RE?,CR,CR,RE?,●,?,u,u,†*,†,†,●,●,●,●,,Euras (Hol),H
Syn. Chenopodium urbicum,Aus den dörflichen Ruderalgesellschaften fast völlig verschwunden.,,,,,,,,,,,,,,,,,,,,,
"Dorf-Gänsefuß, Straßen-G.",,,,,,,,,,,,,,,,,,,,,,
Oxyria digyna,LC,4,0,0,●,,,,,●,●,●,●,●,●,●,,,,,Hol,S
Säuerling,,,,,,,,,,,,,,,,,,,,,,
Oxytropis campestris,LC,3,0,0,●,,,,,●,●,●,●,●,●,,,,,,Hol,S
Inkl. var. tiroliensis,,,,,,,,,,,,,,,,,,,,,,
Alpen-Spitzkiel,,,,,,,,,,,,,,,,,,,,,,
Oxytropis halleri,LC,2,0,0,●,,,,,,●,●,●,●,●,,,,,,Eur,S
Seidenhaariger Spitzkiel i. e. S.,,,,,,,,,,,,,,,,,,,,,,
Oxytropis lapponica,LC,2,0,0,●,,,,,,●,●,●,●,,,,,,,Euras,S
Lappländischer Spitzkiel,,,,,,,,,,,,,,,,,,,,,,
Oxytropis montana s.str.,LC,3,0,0,●,,,,,●,●,●,●,●,●,●,●,,,,Alp,S
(O. montana agg.),,,,,,,,,,,,,,,,,,,,,,
"Jacquin-Spitzkiel, Österreichischer Sp.",,,,,,,,,,,,,,,,,,,,,,
Oxytropis neglecta,LC,2,0,0,●,,,,,,–,?,,●,●,,●,,,,Eur,S
(O. montana agg.),,,,,,,,,,,,,,,,,,,,,,
Pyrenäen-Spitzkiel,,,,,,,,,,,,,,,,,,,,,,
Oxytropis pilosa,EN,2,-2,-1,●,,,,●,†,●,●,,●,●,–,●,"†,u",●,,Euras,S
"Steppen-Spitzkiel, Zottiger Sp.",,,,,,,,,,,,,,,,,,,,,,
Oxytropis triflora,LC,2,0,0,●,,,,,,,●,●,●,●,–,,,,E,E-Alp!,S
(O. montana agg.),,,,,,,,,,,,,,,,,,,,,,
Dreiblütiger Spitzkiel,,,,,,,,,,,,,,,,,,,,,,
Oxytropis x carinthiaca,LC,2,0,0,●,,,,,,,●,,●,●,,●,,,,E-Alp?,S
(= O. montana x O. neglecta),Örtlich ohne Elternarten.,,,,,,,,,,,,,,,,,,,,,
(O. montana agg.),,,,,,,,,,,,,,,,,,,,,,
Kärntner Spitzkiel,,,,,,,,,,,,,,,,,,,,,,
Pachypleurum mutellinoides,LC,4,0,0,●,,,,,●,●,●,●,●,●,●,●,,,,Hol,S
Syn. Ligusticum mutellinoides,,,,,,,,,,,,,,,,,,,,,,
Zwergmutterwurz,,,,,,,,,,,,,,,,,,,,,,
Pachysandra terminalis,n,,,,,,,,,,,u,u,u,le,u,u,,,,,S
Japanischer Ysander,,,,,,,,,,,,,,,,,,,,,,
Paederota bonarota,LC,2,0,0,●,,,,,le,,●,●,●,,,,,,,SE-Alp,S
Blaues Mänderle,,,,,,,,,,,,,,,,,,,,,,
Paederota lutea,LC,2,0,0,●,,,,,,,,,●,,,,,,,Eur,S
Gelbes Mänderle,,,,,,,,,,,,,,,,,,,,,,
Paeonia mascula,n,,,,,,,,,,,,,,,,le,,,,,S
Korallen-Pfingstrose,,,,,,,,,,,,,,,,,,,,,,
Panicum barbipulvinatum,n,,,,,,,,,u,e,u,e,u,u,e,u,u,u,,,H
Syn. P. riparium,,,,,,,,,,,,,,,,,,,,,,
(P. capillare agg.),,,,,,,,,,,,,,,,,,,,,,
Flussufer-Rispenhirse,,,,,,,,,,,,,,,,,,,,,,
Panicum capillare s.str.,n,,,,,,,,,e,e,u,e,e,e,e,e,e,e,,,H
(P. capillare agg.),,,,,,,,,,,,,,,,,,,,,,
Haarstiel-Rispenhirse,,,,,,,,,,,,,,,,,,,,,,
Panicum dichotomiflorum,n,,,,,,,,,le,e,,u,e,e,e,u,u,e,,,H
Späte Rispenhirse,,,,,,,,,,,,,,,,,,,,,,
Panicum laevifolium → P. schinzii,,,,,,,,,,,,,,,,,,,,,,
Panicum miliaceum subsp. agricola,n,,,,,,,,,,u,u,,u,u,u,e,e,e,,,H
Bauern-Rispenhirse,,,,,,,,,,,,,,,,,,,,,,
Panicum miliaceum subsp. ruderale,n,,,,,,,,,,e,u,,e,e,u,e,e,e,,,H
Unkraut-Rispenhirse,,,,,,,,,,,,,,,,,,,,,,
Panicum riparium → P. barbipulvinatum,,,,,,,,,,,,,,,,,,,,,,
Panicum schinzii,n,,,,,,,,,,,,,u,u,e,,,u,,,H
Syn. P. laevifolium,,,,,,,,,,,,,,,,,,,,,,
Glatte Rispenhirse,,,,,,,,,,,,,,,,,,,,,,
Papaver alpinum,LC,3,0,0,●,,f,,,●,●,●,●,●,●,●,●,,,,Eur,S
"Inkl. subsp. alpinum, subsp. kerneri, subsp. rhaeticum und subsp. sendtneri",Nach Schönswetter & al. (2009) haben die Unterarten keinen taxonomischen Wert.,,,,,,,,,,,,,,,,,,,,,
Alpen-Mohn,,,,,,,,,,,,,,,,,,,,,,
Papaver argemone,EN,2,-2,-1,"RE, n",●,CR,"RE?, n",●,u,"†,u",†,,?,†,"†,u",●,●,●,,Eur (Kosm),H
Sand-Mohn,,,,,,,,,,,,,,,,,,,,,,
Papaver cambricum,n,,,,,,,,,u,,u,u,,le,u,u,,,,,S
Syn. Meconopsis cambrica,,,,,,,,,,,,,,,,,,,,,,
Kambrischer Scheinmohn,,,,,,,,,,,,,,,,,,,,,,
Papaver dubium subsp. austromoravicum,EN,2,?,-1,n,,n,,●,,,,u,,,?,●,●,●,,Eur,H
Weißer Schmalkopf-Mohn,Auch (sub)ruderal.,,,,,,,,,,,,,,,,,,,,,
Papaver dubium subsp. confine,VU,2,-1,-1,n,EN,n,,●,,u,–,,,u,u,●,●,●,,Eur,H
Verkannter Schmalkopf-Mohn,,,,,,,,,,,,,,,,,,,,,,
Papaver dubium subsp. dubium,NT,3,-1,-1,●,●,CR,?,n,●,●,●,●,●,●,●,●,u,,,Kosm,H
Gewöhnlicher Schmalkopf-Mohn,Die Verbreitung dieser erst seit Hörandl (1994) sicher unterschiedenen Sippe ist unzureichend bekannt.,,,,,,,,,,,,,,,,,,,,,
